ticker,education_name,matched_name,method,score
GLTR,Сторожев Александр Валентинович / Alexander Storozhev,Сторожев Александр Валентинович,exact,100.0
GLTR,Юсеф Абу Лабан / Yousef Abu Laban,Юсеф Абу Лабан,exact,100.0
GMKN,Потанин Владимир Олегович,Потанин Владимир Олегович,exact,100.0
HEAD,Арсеньев Сергей Станиславович,Арсеньев Сергей Станиславович,exact,100.0
HEAD,Байцур Антон Григорьевич,Байцур Антон Григорьевич,exact,100.0
HEAD,Григорьев Дмитрий Константинович,Григорьев Дмитрий Константинович,exact,100.0
HEAD,Дуглас Гарднер,Дуглас Гарднер,exact,100.0
HEAD,Крюков Дмитрий Викторович,Крюков Дмитрий Викторович,exact,100.0
HEAD,Машков Валентин Сергеевич,Машков Валентин Сергеевич,exact,100.0
HEAD,Сергиенков Дмитрий Сергеевич,Сергиенков Дмитрий Сергеевич,exact,100.0
HEAD,Ушакова Светлана Александровна,Ушакова Светлана Александровна,exact,100.0
HEAD,Филатова Ольга Геннадьевна,Филатова Ольга Геннадьевна,exact,100.0
HNFG,Адамян Амаяк Степаевич,Адамян Амаяк Степаевич,exact,100.0
HNFG,Арутюнян Рубен Альбертович,Арутюнян Рубен Альбертович,exact,100.0
HNFG,Глазов Василий Владимирович,Глазов Василий Владимирович,exact,100.0
HNFG,Золотарева Светлана Сергеевна,Золотарева Светлана Сергеевна,exact,100.0
HNFG,Киреев Михаил Сергеевич,Киреев Михаил Сергеевич,exact,100.0
HNFG,Коршунова Анна Сергеевна,Коршунова Анна Сергеевна,exact,100.0
HNFG,Мелконян Гагик Аршавирович,Мелконян Гагик Аршавирович,exact,100.0
HNFG,Мороз Александр Евгеньевич,Мороз Александр Евгеньевич,exact,100.0
HNFG,Нахапетян Гор Борисович,Нахапетян Гор Борисович,exact,100.0
HNFG,Рихтер Пауль,Рихтер Пауль,exact,100.0
HNFG,Саркисян Акоп Гургенович,Саркисян Акоп Гургенович,exact,100.0
HYDR,Евграфова Елена Олеговна,Евграфова Елена Олеговна,exact,100.0
HYDR,Исаков Александр Юрьевич,Исаков Александр Юрьевич,exact,100.0
HYDR,Недотко Вадим Владиславович,Недотко Вадим Владиславович,exact,100.0
HYDR,Панин Виктор Евгеньевич,Панин Виктор Евгеньевич,exact,100.0
HYDR,Финкель Дмитрий Владимирович,Финкель Дмитрий Владимирович,exact,100.0
HYDR,Хмарин Виктор Викторович,Хмарин Виктор Викторович,exact,100.0
