iteration,sample_size,unique_companies,status,reason
1255,28,18,ok,
1256,28,18,ok,
1257,28,20,ok,
1258,28,19,ok,
1259,28,17,ok,
1260,28,18,ok,
1261,28,18,ok,
1262,28,20,ok,
1263,28,18,ok,
1264,28,16,ok,
1265,28,16,ok,
1266,28,18,ok,
1267,28,17,ok,
1268,28,15,ok,
1269,28,20,ok,
1270,28,18,ok,
1271,28,19,ok,
1272,28,15,ok,
1273,28,20,ok,
1274,28,19,ok,
1275,28,17,ok,
1276,28,16,ok,
1277,28,14,ok,
1278,28,16,ok,
1279,28,19,ok,
1280,28,17,ok,
1281,28,16,ok,
1282,28,18,ok,
1283,28,20,ok,
1284,28,18,ok,
1285,28,18,ok,
1286,28,19,ok,
1287,28,18,ok,
1288,28,15,ok,
1289,28,18,ok,
1290,28,15,ok,
1291,28,19,ok,
1292,28,19,ok,
1293,28,17,ok,
1294,28,19,ok,
1295,28,18,ok,
1296,28,19,ok,
1297,28,15,ok,
1298,28,17,ok,
1299,28,18,ok,
1300,28,19,ok,
1301,28,21,ok,
1302,28,19,ok,
1303,28,17,ok,
1304,28,22,ok,
1305,28,21,ok,
1306,28,16,ok,
1307,28,18,ok,
1308,28,17,ok,
1309,28,20,ok,
1310,28,20,ok,
1311,28,16,ok,
1312,28,16,ok,
1313,28,17,ok,
1314,28,18,ok,
1315,28,18,ok,
1316,28,18,ok,
1317,28,18,ok,
1318,28,21,ok,
1319,28,17,ok,
1320,28,19,ok,
1321,28,20,ok,
1322,28,19,ok,
1323,28,16,ok,
1324,28,20,ok,
1325,28,17,ok,
1326,28,17,ok,
1327,28,18,ok,
1328,28,18,ok,
1329,28,19,ok,
1330,28,18,ok,
1331,28,18,ok,
1332,28,18,ok,
1333,28,18,ok,
1334,28,15,ok,
1335,28,18,ok,
1336,28,19,ok,
1337,28,19,ok,
1338,28,19,ok,
1339,28,14,ok,
1340,28,16,ok,
1341,28,15,ok,
1342,28,17,ok,
1343,28,18,ok,
1344,28,18,ok,
1345,28,17,ok,
1346,28,19,ok,
1347,28,16,ok,
1348,28,16,ok,
1349,28,17,ok,
1350,28,16,ok,
1351,28,17,ok,
