scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
1918,0.7139194139194138,0.554563492063492,9.875,58.0,0.42857142857142855,0.8096605438089287,0.5444166094046828,dirichlet_1,,
1919,0.9185439560439559,0.7678571428571428,5.6875,18.0,0.6666666666666666,0.5184859425988175,0.3828298445876809,dirichlet_1,,
1920,0.6978937728937727,0.5376984126984127,9.75,43.0,0.25,0.7626103397964945,0.39186813265842835,dirichlet_1,,
1921,0.8175824175824175,0.6587301587301587,7.78125,52.0,0.5384615384615384,0.6110025229662368,0.4020091614699243,dirichlet_1,,
1922,0.569642857142857,0.4126984126984126,13.34375,48.0,0.25,1.0729930215023449,0.6680072027911571,dirichlet_1,,
1923,0.9345695970695971,0.798611111111111,4.875,25.0,0.8181818181818182,0.7281593309733909,0.5091380335572947,dirichlet_1,,
1924,0.9118131868131867,0.7628968253968254,5.5,30.0,0.42857142857142855,0.39604916751942676,0.3847102762420035,dirichlet_1,,
1925,0.7921703296703295,0.6825396825396824,7.40625,53.0,0.6666666666666666,0.7702801158627756,0.4060423263943272,dirichlet_1,,
1926,0.8755494505494505,0.7093253968253967,6.65625,31.0,0.6666666666666666,0.5012911914537621,0.4306326992349731,dirichlet_1,,
1927,0.843131868131868,0.7509920634920634,5.90625,45.0,0.6666666666666666,0.5995152791092724,0.44293713830920683,dirichlet_1,,
1928,0.43891941391941386,0.31746031746031744,14.59375,60.0,0.1111111111111111,0.981550730152641,0.6907753650763204,dirichlet_1,,
1929,0.5008241758241758,0.3412698412698412,14.78125,54.0,0.1111111111111111,1.0446413170966014,0.5425796458784237,dirichlet_1,,
1930,0.8850732600732599,0.7142857142857142,6.53125,30.0,0.42857142857142855,0.5293789388076108,0.40331883307174116,dirichlet_1,,
1931,0.7268315018315017,0.566468253968254,9.25,52.0,0.3333333333333333,0.6902876594552696,0.487600981902027,dirichlet_1,,
1932,0.7918956043956044,0.6240079365079365,8.40625,48.0,0.6666666666666666,0.7124954761869929,0.4371110848313523,dirichlet_1,,
1933,0.592445054945055,0.4236111111111111,13.0625,45.0,0.17647058823529413,0.902736833235905,0.6513684166179524,dirichlet_1,,
